# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 63K of event 'cpu-clock:HG'
# Event count (approx.): 1276560000000
#
# Overhead       Samples  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  .......  ...................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    21.08%         13456  pal-sgx  libsysdb.so          [.] free_vma
    17.69%         11289  pal-sgx  libsysdb.so          [.] get_mem_obj_from_mgr_enlarge.constprop.0
    10.69%          6821  pal-sgx  libpal.so            [.] memset
     3.72%          2377  pal-sgx  libhyrise_impl.so    [.] void hyrise::DictionarySegmentIterable<int, std::vector<int, boost::container::pmr::polymorphic_allocator<int> > >::_on_with_iterators<hyrise::materialize_input<int, int, false>(std::shared_ptr<hyrise::Table const> const&, hyrise::ColumnID, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >&, unsigned long, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> >&, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> > const&)::{lambda()#1}::operator()() const::{lambda(auto:1, auto:2)#1}>(hyrise::materialize_input<int, int, false>(std::shared_ptr<hyrise::Table const> const&, hyrise::ColumnID, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >&, unsigned long, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> >&, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> > const&)::{lambda()#1}::operator()() const::{lambda(auto:1, auto:2)#1} const&) const
     3.64%          2324  pal-sgx  libhyrise_impl.so    [.] _ZN5boost4hana6detail8variadic11foldl1_implILj6ENS0_4whenILb1EEEE5applyIZN6hyrise28resolve_encoded_segment_typeIiZNKS8_24ReferenceSegmentIterableIiLNS8_26EraseReferencedSegmentTypeE0EE18_on_with_iteratorsIZZNS8_17materialize_inputIiiLb0EEESt6vectorINS8_9PartitionIT_EESaISI_EERKSt10shared_ptrIKNS8_5TableEENS8_8ColumnIDERSF_ISF_ImSaImEESaIST_EEmRNS_14dynamic_bitsetImSS_EERKSY_ENKUlvE_clEvEUlSH_T0_E_EEvRKSH_EUlS16_E_EEvRKNS8_22AbstractEncodedSegmentERKS13_EUlSH_S13_E_bRKNS0_4pairINS8_13enum_constantINS8_12EncodingTypeELS1G_1EEENS0_9type_implINS8_12TemplateTypeINS8_17DictionarySegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_2EEENS1I_INS1J_INS8_16RunLengthSegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_3EEENS1I_INS1J_INS8_28FixedStringDictionarySegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_4EEENS1I_INS1J_INS8_23FrameOfReferenceSegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_5EEENS1I_INS1J_INS8_10LZ4SegmentEEEE1_EEEEEDcOSH_OS13_OT1_OT2_OT3_OT4_OT5_
     2.41%          1538  pal-sgx  libhyrise_impl.so    [.] hyrise::SegmentAccessor<int, hyrise::DictionarySegment<int> >::access(hyrise::ChunkOffset) const
     2.35%          1503  pal-sgx  libhyrise_impl.so    [.] void hyrise::AbstractTableScanImpl::_scan_with_iterators<false, hyrise::ColumnBetweenTableScanImpl::_scan_dictionary_segment(hyrise::BaseDictionarySegment const&, hyrise::ChunkID, hyrise::RowIDPosList&, std::shared_ptr<hyrise::AbstractPosList const> const&)::$_1, hyrise::AttributeVectorIterable::Iterator<__gnu_cxx::__normal_iterator<unsigned short const*, std::vector<unsigned short, boost::container::pmr::polymorphic_allocator<unsigned short> > > >, std::integral_constant<bool, false> >(hyrise::ColumnBetweenTableScanImpl::_scan_dictionary_segment(hyrise::BaseDictionarySegment const&, hyrise::ChunkID, hyrise::RowIDPosList&, std::shared_ptr<hyrise::AbstractPosList const> const&)::$_1, hyrise::AttributeVectorIterable::Iterator<__gnu_cxx::__normal_iterator<unsigned short const*, std::vector<unsigned short, boost::container::pmr::polymorphic_allocator<unsigned short> > > >, hyrise::AttributeVectorIterable::Iterator<__gnu_cxx::__normal_iterator<unsigned short const*, std::vector<unsigned short, boost::container::pmr::polymorphic_allocator<unsigned short> > > >, hyrise::ChunkID, hyrise::RowIDPosList&, std::integral_constant<bool, false>)
     2.05%          1311  pal-sgx  libhyrise_impl.so    [.] hyrise::FixedWidthIntegerDecompressor<unsigned short>::get(unsigned long)
     1.87%          1195  pal-sgx  libhyrise_impl.so    [.] std::_Function_handler<void (), hyrise::partition_by_radix<int, int, false>(std::vector<hyrise::Partition<int>, std::allocator<hyrise::Partition<int> > > const&, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >&, unsigned long, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> > const&)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
     1.80%          1148  pal-sgx  libc.so.6            [.] __memcmp_evex_movbe
